,pvalue,weighted_pvalue,log2FoldChange
Prph,1.09E-16,1.08E-16,8.89060593
Fbxw17,1.10E-16,1.09E-16,1.489999165
Raver2,1.44E-16,1.42E-16,-2.694535729
Ybx3,1.97E-16,1.87E-16,1.495976478
44085,2.06E-16,1.26E-16,1.258849278
Bcl2a1d,2.12E-16,2.17E-16,2.072656033
Klf3,2.12E-16,1.84E-16,-2.608112746
Srgap3,2.13E-16,1.78E-16,2.819680357
Selenom,2.22E-16,1.86E-16,3.517086655
Acot11,2.33E-16,2.39E-16,2.699476206
Trbc1,2.33E-16,1.43E-16,-1.181746179
Aars,2.77E-16,2.40E-16,1.135725633
Wnt5b,3.14E-16,3.22E-16,-5.617995388
Fgf13,3.35E-16,3.07E-16,-1.422514928
Tbl1x,3.37E-16,3.14E-16,-0.823220633
Abr,4.22E-16,3.66E-16,1.073363261
Flii,4.25E-16,3.69E-16,0.668222905
Crtap,4.57E-16,4.69E-16,1.278257023
Marveld2,5.16E-16,5.03E-16,2.178775805
Acap3,5.67E-16,5.39E-16,0.665285209
Fam169b,6.15E-16,5.72E-16,-0.763980306
Igsf8,6.36E-16,3.88E-16,1.52212775
Bik,6.94E-16,7.12E-16,2.641384739
Nqo2,8.59E-16,8.38E-16,1.713616793
Padi2,8.64E-16,5.48E-16,0.977523385
Ripor2,1.17E-15,1.02E-15,-1.133172267
Dap3,1.18E-15,1.37E-15,-1.090870362
Atp10a,1.25E-15,1.19E-15,1.152925499
Farp1,1.36E-15,1.73E-15,2.291536862
Irf1,1.50E-15,9.18E-16,-1.158670897
Ptpn13,1.52E-15,1.19E-15,2.342601008
Cdc42ep3,1.55E-15,1.48E-15,1.182164995
Zcwpw1,1.70E-15,1.68E-15,-1.747721367
Gm5511,1.97E-15,1.64E-15,-2.045475982
Gm26614,2.01E-15,2.06E-15,8.522790822
Smpd1,2.15E-15,2.00E-15,1.296686031
Ank,2.25E-15,2.90E-15,1.479524448
Gm11346,2.26E-15,2.07E-15,-1.87158164
Ldlr,2.34E-15,2.14E-15,2.983115026
Trav3-3,2.40E-15,2.36E-15,1.819838276
Lss,2.55E-15,1.55E-15,1.254245837
Pkp3,2.88E-15,2.74E-15,0.975442482
Prr13,2.99E-15,1.85E-15,1.43003922
Dusp10,3.09E-15,1.91E-15,-2.106814207
Runx2,3.14E-15,3.00E-15,2.478732349
Trbv12-1,3.14E-15,1.91E-15,-1.474906299
Plekhg3,3.18E-15,3.15E-15,2.212399836
