"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Fpgt",0.229388720884114,0.837855805880577,1.04683188032768,0.219126609721047,"6",949.14484649812,"3",-0.0155593415264408
"Arhgap15",0.229598418670522,0.935972624317219,0.587679299586752,0.390686585067694,"9",6915.62963753204,"1",0.0078686902269426
"Them6",0.229715756836617,0.716864680070673,1.75383380266939,0.130979204806626,"4",278.000099320287,"4",0.0216874471222983
"Ppp1cb",0.229793846847069,0.838712331607997,1.04295095128194,0.220330444652855,"9",4980.28688241382,"5",-0.0136731772246886
"Gprin3",0.230091790619142,0.838875428624668,1.04295095128194,0.220616118463025,"7",1286.57490207375,"5",0.0238238597724972
"Map7",0.230067925847413,0.656645485596165,2.29843693809047,0.100097558490577,"4",324.994181804446,"1",0.0245434907760738
"Sh3bp5l",0.230118988383259,0.905877530915647,0.702103910843751,0.32775631189223,"6",1142.19672518716,"2",-0.0180153168826881
"Zfp523",0.230058659294012,0.807635229358047,1.21744066041288,0.188969094572535,"5",519.755596859421,"3",0.0172001342737168
"Arnt2",0.230314281915565,0.656645485596165,2.29843693809047,0.100204742666078,"3",60.6298326514891,"1",-0.0302373012719141
"Casz1",0.230253024996316,0.727956480795166,1.6640513982361,0.138368938147215,"3",134.250032768774,"5",0.0250129372093985
"Tgfbrap1",0.230349575236511,0.822695485583425,1.10969705170479,0.207578793583918,"7",1350.98448089537,"2",-0.0182924948958021
"Ublcp1",0.23024834731174,0.799705113114677,1.24935888413412,0.184293200485236,"5",465.839250049328,"4",-0.0202894135493351
"Arhgap45",0.231241010117918,0.847341412382379,0.987497653217561,0.234168668010973,"9",74293.8218506193,"3",0.00978788648259526
"Bnip3",0.231268502501561,0.683105661805773,2.08064419518776,0.111152355139074,"3",75.007105283218,"4",0.0242258583917501
"Dnajb11",0.231129471547626,0.936510246924522,0.587679299586752,0.39329183741907,"9",4813.63219316852,"1",0.00604237991005402
"Gm15542",0.231318054915295,0.869059553677515,0.860472717893557,0.268826715949301,"1",19.2455304828172,"4",0.027433911342014
"Hltf",0.230892584701632,0.994429932355945,0.426157514614546,0.541801040186915,"8",2251.60249456177,"1",-0.015336076285936
"Il6ra",0.231229096861321,0.839255685851821,1.04683188032768,0.220884653215702,"7",2098.90363736626,"3",0.0231269754883334
"Msln",0.230584358542439,0.942286690900076,0.556142136275827,0.414614077053276,"2",37.383489349597,"3",-0.0310253356344324
"Pcyt1b",0.231339931341809,0.869059553677515,0.860472717893557,0.268852139679838,"1",10.9558427219623,"4",0.0295441101510549
"Pop5",0.230696108643766,0.823246330900433,1.10969705170479,0.207891071071475,"7",1358.0145395255,"2",0.0166611640078981
"Slc5a11",0.231055926635297,0.945040366020626,0.54722357394843,0.422233137670111,"1",10.5168627658869,"2",-0.0309573207379858
"Tcrg-C1",0.230659363083687,0.760240776274606,1.46147216400106,0.157826723467803,"4",161.342690465122,"2",-0.0259623503019775
"Zfp948",0.230859232455783,0.760240776274606,1.46147216400106,0.157963482399665,"3",52.5145899133567,"2",0.0254509049164134
"Ipcef1",0.231571432151071,0.839314818549714,1.04683188032768,0.221211673529262,"8",2569.79656098337,"3",0.0172848642031315
"Slc25a26",0.231534157636521,0.760240776274606,1.461768176112,0.158393212699673,"4",178.360953462393,"5",-0.0204669350114867
"Zfp764",0.231626568522194,0.809334876780932,1.21744066041288,0.190256967796394,"5",451.843710311647,"3",0.0167440110022641
"Dtx2",0.232211945552747,0.889633776468782,0.765697159426268,0.303268652226347,"6",930.201231827848,"5",-0.0153607068380867
"Gm10451",0.232214937992471,1,0.231161573308397,1,"2",28.0254189621947,"4",0.0273478712622043
"H3f3c",0.232217763410554,0.936510246924522,0.589659428901602,0.393816755958811,"1",11.5340320819696,"5",0.0287233839952238
"Pex12",0.232233381212349,0.798761014165074,1.27181989474669,0.182599267531196,"4",341.826767036844,"3",0.0210837665296391
"Pgpep1l",0.232272347653512,0.94600773125011,0.54722357394843,0.424456033532286,"1",14.0507279264053,"2",0.0297768737607318
"Prkab2",0.231987736896154,0.798761014165074,1.27181989474669,0.182406123582741,"4",147.888126145661,"3",-0.0238354081018158
"Rundc3b",0.232067718848072,0.889633776468782,0.765697159426268,0.303080292242378,"6",1078.37213159936,"5",-0.0157920774960723
"Trim12a",0.23216985487304,0.840326143483935,1.04683188032768,0.221783324749687,"8",2627.48070319627,"3",-0.0122607900832162
"Ammecr1l",0.232399244650219,0.918402021386766,0.659750049040985,0.352253470822829,"6",869.885512464097,"4",-0.0109166877794025
"Ccng2",0.232583303037044,0.854979873452626,0.940907035775772,0.247190523817563,"8",3694.84177941825,"2",-0.0141385843286168
"Pip4p1",0.232475722719031,0.840326143483935,1.04295095128194,0.22290187513927,"7",2064.12804567192,"5",0.0145741193465584
"Txnrd1",0.232570295502226,0.840326143483935,1.04295095128194,0.22299255321294,"9",4510.79630790394,"5",-0.0122887327065194
"Dnm1l",0.232917891119862,0.854979873452626,0.940907035775772,0.247546125455234,"8",2319.48215997642,"2",-0.0132093216808432
"Il1rap",0.232948084768048,0.795954626491724,1.29055136442999,0.180502761213953,"5",595.544038029231,"2",-0.0189447463432375
"Zfyve28",0.232879224664895,0.761239103753213,1.461768176112,0.159313377093969,"4",268.815471682877,"5",0.0221886607702751
"1500015A07Rik",0.233914555666473,0.761955039353245,1.461768176112,0.160021650141979,"4",140.796112811246,"5",0.02242619780188
"Dcaf4",0.233620058704058,0.793381006863177,1.31357991171978,0.177849902103173,"5",727.216796733389,"1",0.0172376500799992
"Dna2",0.233729799852786,0.659546458133907,2.29843693809047,0.101690760350801,"3",101.621835123876,"1",-0.0260788797031513
"Dynlt3",0.233580561412772,0.796394080609195,1.29055136442999,0.180992843718343,"5",490.337193541668,"2",-0.0186965240249557
"Fancd2",0.234159820088361,0.761955039353245,1.46147216400106,0.160221881645219,"3",83.1671192819806,"2",0.0287312030892246
"Fem1a",0.234060702072379,0.909667961393379,0.702103910843751,0.333370457645076,"6",1166.36276576099,"2",-0.0172098989996412
"Gm12596",0.233617346110241,0.921266336619824,0.653849882954857,0.357295079804076,"1",15.0164978185163,"1",-0.0275490623432411
"Gm17249",0.23390477921697,0.921266336619824,0.653849882954857,0.357734680871877,"1",14.3617675988945,"1",0.02886304889898
"Gm45120",0.234026243152685,0.937729965437784,0.589659428901602,0.396883746247594,"1",11.5535847305531,"5",0.0300496211802947
"Gmeb1",0.234118461618874,0.72046377235244,1.75383380266939,0.133489536615464,"4",275.539168869206,"4",0.0224328487890135
"Htatip2",0.234063160889522,0.920796838703738,0.659750049040985,0.354775511164807,"6",874.484282308465,"4",-0.0127653853352879
"Idh3a",0.233526029510265,0.855231843477701,0.940907035775772,0.248192457523419,"8",3933.81406726119,"2",-0.0102275199644771
