"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Pcbp3",0.000460852238023949,0.00439258349413588,0.92815807807568,0.000496523435942528,"4",221.824286302572,"5",-0.760814688273729
"Prex1",0.00046242388306159,0.00413552351473729,1,0.00046242388306159,"9",20781.4536736588,"2",0.443354233795589
"Mgat4b",0.000464826114061721,0.00397843421819234,1.05724001657859,0.000439659970085107,"5",582.736082741429,"1",0.801505782847396
"Bace1",0.000466137203371654,0.00415731378125958,1,0.000466137203371654,"4",248.291994518574,"4",-0.728468494858485
"Rbm43",0.000468973445872566,0.00492456671119779,0.827079888349012,0.000567023152755793,"6",986.805719754323,"5",0.441635828139034
"Gm45155",0.000474796388491627,0.00422660720098855,1,0.000474796388491627,"1",15.392832691846,"3",-2.09786514774027
"Numbl",0.000479109363399578,0.0042623387310679,1,0.000479109363399578,"4",149.48671129928,"2",1.15624889733477
"Clba1",0.000479782688757495,0.00426566617602734,1,0.000479782688757495,"2",39.5017549691553,"4",1.29748172739373
"Bmyc",0.000482704238668624,0.00428629333925559,1,0.000482704238668624,"4",168.208871116535,"3",-0.673881200521297
"Eno3",0.000482417163900753,0.00428629333925559,1,0.000482417163900753,"5",487.06130982749,"4",-0.550717602421482
"Crebrf",0.000484077323351529,0.00411187622040645,1.05724001657859,0.000457868899928784,"7",2106.69493322609,"1",0.512105206859917
"E430018J23Rik",0.000486683762024363,0.00431796828457896,1,0.000486683762024363,"4",157.141881988385,"3",-0.694499699912082
"Ctnnbl1",0.000487380902321133,0.00357577359935241,1.267162035624,0.000384623977533486,"8",3771.62739428692,"5",-0.388903262879231
"Hif1a",0.000488421192745739,0.00358008776911821,1.267162035624,0.000385444938385658,"9",5821.07573363972,"5",0.475356125588072
"Ar",0.000489101676882378,0.0041427914343918,1.05426310651072,0.000463927528016371,"4",252.247477815224,"1",1.02518821524401
"Nt5e",0.000489311608115193,0.00433685885501102,1,0.000489311608115193,"9",4805.44344434406,"2",0.639169726971492
"Nek8",0.000490390307897564,0.0041427914343918,1.05724001657859,0.000463840093269029,"5",527.631631550094,"1",-0.744427759976994
"Igtp",0.000491720345390751,0.00435302414692426,1,0.000491720345390751,"9",5461.39544810225,"2",-0.769509856262039
"Stt3a",0.000491746342727201,0.00435302414692426,1,0.000491746342727201,"9",6925.38145747176,"3",0.336487417550455
"Tfdp2",0.000495962618484178,0.00417860368021684,1.05724001657859,0.000469110713468071,"6",731.281678557021,"1",-0.489461572375755
"Pde2a",0.00049754928258799,0.00397081305279984,1.13600419605301,0.000437981905627375,"3",108.383570419565,"1",-1.33522232040539
"Tpcn2",0.000500265550928042,0.00412794131335148,1.08526355317674,0.0004609622699147,"5",592.883853980893,"5",-0.414094931690093
"Abhd5",0.000501970524312131,0.00413552351473729,1.08526355317674,0.000462533292344319,"5",594.596965969061,"5",0.478564778222493
"Runx1",0.000502161414007737,0.00443970500771604,1,0.000502161414007737,"7",1318.23028766035,"3",-0.487562248409449
"Eng",0.000506122035849531,0.00447194746120739,1,0.000506122035849531,"4",347.847226920008,"2",-2.03648806676528
"Tmem120b",0.000507080918768221,0.00447764389980464,1,0.000507080918768221,"4",296.39781662523,"2",-1.04214639940158
"Rpl10",0.00050837722745474,0.00448631098804022,1,0.00050837722745474,"9",5555.39027195352,"2",-0.574508454249633
"Ugp2",0.000509142531660289,0.00412464419527867,1.10714576536761,0.000459869465780087,"7",1365.47876534275,"5",0.503911551005759
"Atp8a1",0.000510097555352335,0.00449870690524844,1,0.000510097555352335,"7",1434.60960975571,"3",-0.425857828331021
"Pcbp2",0.000519040933736494,0.00457192298369129,1,0.000519040933736494,"7",1405.34082426001,"4",-0.535248004951551
"Tigar",0.000521974698404467,0.00459208851954349,1,0.000521974698404467,"5",437.049974455335,"3",0.560448642229435
"Ggt7",0.000526351766114845,0.00462773927863588,1,0.000526351766114845,"3",133.115595652929,"4",-1.25055908041109
"Selenoi",0.000528390169805205,0.00431796828457896,1.08526355317674,0.000486877282719505,"5",702.301339283968,"5",0.636621919068276
"Wdr60",0.000530037830581426,0.0130442358602181,0.284297479589124,0.00186437752226103,"1",19.5910710546666,"5",-1.71315434472131
"Guf1",0.000531884496522287,0.00467350052061383,1,0.000531884496522287,"6",1030.41300431145,"2",-0.491806700782204
"Rell2",0.000531737018141525,0.00417200010050584,1.13600419605301,0.000468076632101378,"3",60.1218302767843,"1",-0.878850458503002
"B4galt4",0.000536958815668722,0.00471227650302379,1,0.000536958815668722,"3",101.816162163784,"2",1.01110528704868
"Gm33782",0.000538813723531688,0.0037835613119668,1.30354213523051,0.000413345843582115,"3",66.5387577679271,"5",0.936126251929081
"Mettl2",0.000540600646039706,0.00473548887975285,1,0.000540600646039706,"6",1040.25963183557,"2",-0.408427918528415
"Fam234a",0.000541597707020886,0.00474130867350226,1,0.000541597707020886,"7",1379.78752477911,"3",-0.683855678809102
"Lrrfip2",0.000542912385014483,0.0047499001296663,1,0.000542912385014483,"5",693.064078439289,"4",0.510675920947924
"Gm4208",0.00054697826243479,0.00483264030527706,0.986183537359501,0.000554641445241847,"2",43.5507307465393,"5",1.4338162692109
"Myc",0.0005488593415064,0.00395958384321204,1.2575091256896,0.000436465493803405,"9",6027.18443607525,"1",-0.491974502582442
"Klrc3",0.000549603428599705,0.00479666139889957,1,0.000549603428599705,"1",19.2430443306476,"4",2.03682896292569
"Hjurp",0.000550203784745144,0.00479896226449681,1,0.000550203784745144,"8",3508.52094059358,"2",-0.430288472927292
"Cdkn1a",0.000551107063513424,0.0045887177946853,1.05724001657859,0.000521269583889665,"6",1272.57475583299,"1",1.58325927221514
"Bcar1",0.000554743161621756,0.00483264030527706,1,0.000554743161621756,"2",27.1832061664345,"4",1.66748350446136
"Rps18",0.00055534594186081,0.00398878638109496,1.2575091256896,0.000441623786671342,"9",6184.24699286028,"1",-0.572918793263702
"Gnl3",0.000555986880229921,0.00483756106046205,1,0.000555986880229921,"8",3309.49841422694,"2",-0.690186785222748
"Utrn",0.000558336967342826,0.00398459174554664,1.267162035624,0.000440620024626825,"9",8080.82732381711,"5",-0.639523929415311
"Nf2",0.000560137472578277,0.00487070119535424,1,0.000560137472578277,"8",2408.28332438067,"2",0.474707376887475
"Glipr2",0.000566079284992426,0.00491936705470247,1,0.000566079284992426,"9",10644.2121496674,"2",0.424845728656112
"Mfap1b",0.000567873431119298,0.00492894771029977,1,0.000567873431119298,"6",875.107191808491,"4",0.411563762036528
"Mob3b",0.000570833499192743,0.00495162448599815,1,0.000570833499192743,"4",176.501707854867,"2",-0.83670718355932
"Smap1",0.000571467855557262,0.00473548887975285,1.05724001657859,0.000540528022583395,"6",1174.10513834341,"1",0.504478609586209
"Wdr26",0.000572159640469135,0.0047013651095953,1.06868701799913,0.000535385600117399,"8",2507.7889166763,"1",-0.414151436966055
"Ripor3",0.000573779009519218,0.00497112367396224,1,0.000573779009519218,"2",33.0429358627831,"2",1.83983368172687
"Synj1",0.000574558901507607,0.00475170175467915,1.05724001657859,0.000543451716259263,"7",1576.557937389,"1",0.415299371667726
"Pmel",0.000575195356522221,0.00476747270404611,1.05426310651072,0.000545589950905081,"4",232.014133008272,"1",-0.896957984828349
"Ptafr",0.000577258942990911,0.00499823478463333,1,0.000577258942990911,"3",51.4540358270175,"3",2.1588802124232
"A230050P20Rik",0.000583999909411229,0.00593705989747638,0.827079888349012,0.000706098549412185,"6",1279.26314661232,"5",-0.518595700494909
"Vipr2",0.000585059490749478,0.00404593497677935,1.30354213523051,0.000448822845796249,"3",60.9453212937642,"5",1.75677577865275
"Gm42449",0.00058589296425192,0.00454573527943852,1.13600419605301,0.000515748943786984,"3",93.2339844040071,"1",-1.4938037756057
"5031434O11Rik",0.000592576223715087,0.00512152597961638,1,0.000592576223715087,"4",234.0451133333,"3",-0.857402687881298
"A430005L14Rik",0.000593729864507401,0.00512612820098059,1,0.000593729864507401,"6",1192.58355800965,"3",0.406845595152304
"Stambpl1",0.00059382807043355,0.00512612820098059,1,0.00059382807043355,"6",1177.06718059259,"2",-0.506822245867569
"Zmiz1",0.000594194788641928,0.0051261889393007,1,0.000594194788641928,"8",2786.14498201081,"3",0.479233147429673
"Ccdc28b",0.000594884634234882,0.00512903557599246,1,0.000594884634234882,"3",80.5544688512088,"3",-1.08838459876759
"Klf8",0.000597869301276944,0.00411629504435675,1.30354213523051,0.000458649770589287,"3",110.090564126773,"5",1.28249622812758
"Ggta1",0.000598789996112391,0.00515958586734813,1,0.000598789996112391,"5",698.27284386587,"2",0.538509108913455
"Doc2g",0.000601071086897994,0.00412794131335148,1.30354213523051,0.000461105990096517,"3",52.3853335926009,"5",-1.05346917439627
"Sh2d1a",0.000608874503862616,0.0061500283122108,0.827079888349012,0.000736173751096802,"6",1104.91309074183,"5",-0.697009771717031
"B3gat3",0.000610211701058203,0.0052516528764985,1,0.000610211701058203,"7",1607.33478269193,"4",0.486240442689012
"Rora",0.000613325975205074,0.00527526964310363,1,0.000613325975205074,"8",3487.083115762,"4",1.41857638108034
"Ssbp2",0.0006175560872223,0.00530844955071908,1,0.0006175560872223,"7",1754.03064350183,"3",-0.465307406744216
"Txndc5",0.000617552696485049,0.00500041101401714,1.06868701799913,0.000577861138091933,"8",3391.94719713236,"1",0.518909027886198
"Atp2b4",0.000620640669736089,0.0049576859586341,1.08526355317674,0.000571880137243507,"5",726.965964523023,"5",1.59242711200057
"Fbxl18",0.000620685022682247,0.00532651922225385,1,0.000620685022682247,"4",185.509560231238,"4",0.881846727963144
"Gm28731",0.000620779429424898,0.00532651922225385,1,0.000620779429424898,"3",75.3402540496608,"3",-1.05000572970228
"H2-T10",0.000623003791260065,0.00534238870820605,1,0.000623003791260065,"6",1169.11595874502,"2",-0.459796990492787
"Skp1a",0.000624205652559612,0.00534947622386025,1,0.000624205652559612,"9",7726.53079403891,"2",-0.450504865098767
"Anxa1",0.000624867567741387,0.005351930634285,1,0.000624867567741387,"7",1951.33011347637,"3",1.86815388071245
"Cox18",0.000629530732956624,0.00538539736260372,1,0.000629530732956624,"5",627.694767305541,"4",-0.393567237632574
"Trav16",0.00063126468072849,0.00576287718960906,0.92815807807568,0.000680126258274098,"4",303.635769460724,"5",0.613034335475584
"Carnmt1",0.000633965394697821,0.0054135858629319,1,0.000633965394697821,"4",266.437637235152,"3",0.466896105483021
"Ttc21b",0.000635511655582299,0.00542354018883768,1,0.000635511655582299,"5",554.585150789855,"4",0.438816607143454
"Scrn2",0.000646047659376767,0.00550686079033354,1,0.000646047659376767,"4",205.594438398371,"4",-0.636325054877885
"Trbc2",0.000646976993422711,0.00551148601928301,1,0.000646976993422711,"9",19798.9636866592,"2",-0.517067326867071
"Scg5",0.000649858842528651,0.0057733139766032,0.951507244477265,0.000682978344411521,"2",36.7560081054176,"1",-1.1912191556654
"Gm26541",0.000657421495344433,0.00559043624800051,1,0.000657421495344433,"4",264.043099301651,"3",0.58505181087116
"Fyco1",0.00065863708796084,0.00559743337961711,1,0.00065863708796084,"7",1819.53696221611,"4",0.537087100710332
"Runx2os1",0.000663493514364844,0.00570749402482665,0.986183537359501,0.000672789079547346,"2",31.9594125369504,"5",1.06486771739382
"Ccr4",0.000667896641086804,0.00541302481338338,1.05426310651072,0.000633519884137208,"4",187.753313261804,"1",-2.11407998041968
"Nit2",0.000673888579893704,0.00571342060716542,1,0.000673888579893704,"4",346.182811443202,"2",-0.45713695674254
"2900026A02Rik",0.00068105033400508,0.00576727828891289,1,0.00068105033400508,"5",442.659627494572,"2",1.03673249650794
"Gm6637",0.000682720999829854,0.0057733139766032,1,0.000682720999829854,"2",41.5227911765889,"3",1.46677821450319
