,neg1,neg2,neg3,neg4,neg5,pos1,pos2,pos3,pos4,pos5
Thumpd3,27,83,16,44,26,44,28,44,12,69
Gt(ROSA)26Sor,0,20,24,32,27,27,12,59,15,39
Setd5,30,67,5,25,23,21,37,32,26,40
Lhfpl4,0,0,0,0,0,0,0,0,0,0
Mtmr14,16,39,27,18,45,28,17,42,18,38
Cpne9,0,0,0,0,0,0,0,5,0,0
Brpf1,20,38,62,36,27,56,48,56,18,76
Ogg1,0,8,7,14,0,1,0,2,0,4
Camk1,0,0,0,0,3,0,0,0,0,0
Tada3,25,65,38,32,18,29,15,21,12,36
Arpc4,145,87,248,131,106,206,141,217,105,183
Ttll3,0,0,0,7,1,0,0,5,0,6
Rpusd3,0,0,0,4,11,3,3,5,5,4
Cidec,0,0,0,0,0,0,0,0,0,0
Jagn1,98,65,124,50,79,53,18,67,19,61
Il17re,0,0,0,0,0,0,0,6,7,13
Il17rc,0,0,0,0,0,0,0,0,0,0
Creld1,4,1,14,2,0,5,0,4,0,1
Prrt3,0,1,0,0,0,4,0,5,0,0
Emc3,60,30,65,35,25,60,35,37,37,87
Fancd2,0,0,0,0,0,0,0,0,0,4
4931417G12Rik,0,0,0,0,0,0,0,11,0,3
Brk1,220,246,261,218,273,279,186,345,182,396
Vhl,12,2,47,30,38,29,11,14,21,41
Irak2,45,133,78,16,47,39,24,7,14,20
Tatdn2,69,155,126,75,46,105,49,141,24,117
Ghrl,0,1,2,2,0,0,1,3,0,0
Sec13,238,344,445,222,111,251,155,347,76,340
Atp2b2,0,15,0,4,0,1,0,0,0,1
Slc6a11,0,0,0,0,0,0,0,0,0,0
Slc6a1,0,0,0,0,0,0,0,0,0,0
Hrh1,0,0,0,0,0,0,0,0,0,0
Atg7,35,4,41,26,16,41,33,43,39,49
Vgll4,17,60,14,6,0,3,11,9,5,13
Tamm41,8,5,21,18,8,10,3,1,4,10
Syn2,0,0,0,0,0,6,0,0,0,0
Timp4,0,0,0,0,0,0,0,0,0,0
Pparg,0,0,0,0,0,0,0,0,0,3
Tsen2,5,0,0,1,4,5,3,3,0,4
2510049J12Rik,0,0,0,0,0,0,0,0,0,0
Mkrn2,22,30,18,17,29,20,32,33,14,25
Raf1,59,17,29,26,5,21,13,42,10,61
Tmem40,0,0,0,0,0,0,0,0,0,0
Cand2,0,0,30,0,0,16,10,11,8,29
Rpl32,697,624,1185,603,710,1706,1122,2232,627,1748
Snora7a,0,0,0,0,0,0,0,0,0,0
Efcab12,0,0,0,0,0,4,0,0,0,0
Mbd4,13,0,14,2,20,18,24,22,9,15
Ift122,0,0,0,0,0,1,0,0,0,0
Rho,0,0,0,0,0,0,0,0,0,0
H1foo,0,0,0,0,0,0,0,0,0,0
Plxnd1,0,0,0,2,0,2,0,0,0,0
Tmcc1,76,165,65,65,3,75,12,79,31,38
Fam21,113,228,235,116,52,149,94,121,59,182
Zfand4,0,0,3,8,0,0,3,1,0,0
8-Mar,0,0,3,14,0,1,0,3,0,1
Alox5,0,0,0,0,0,0,0,11,0,0
Olfr211,0,0,0,0,0,0,0,0,0,0
Olfr212,0,0,0,0,0,0,0,0,0,0
Olfr213,0,0,0,0,0,0,0,0,0,0
Olfr214,0,0,0,0,0,0,0,0,0,0
Olfr215,0,0,0,0,0,0,0,0,0,0
Zfp422,64,0,20,19,0,43,43,43,44,75
Rassf4,0,0,44,13,0,10,3,0,3,5
8430408G22Rik,0,0,0,0,0,0,0,0,0,0
Tmem72,0,0,0,0,0,0,0,0,0,0
Cxcl12,0,0,0,0,0,0,0,0,0,0
1700030F04Rik,0,0,0,0,0,0,0,0,0,0
Zfp637,5,11,7,5,2,2,2,12,2,27
Zfp239,0,0,0,0,6,0,3,0,0,0
Hnrnpf,126,123,200,73,96,179,105,217,99,237
Fxyd4,0,0,2,0,0,0,0,0,0,0
Rasgef1a,0,7,0,13,22,7,1,10,0,5
Csgalnact2,33,43,39,37,25,35,15,45,18,60
Ret,0,0,17,19,23,5,0,6,0,2
1700069P05Rik,0,0,0,0,0,0,0,0,0,0
Bms1,36,13,47,22,44,39,43,47,24,57
Zfp248,0,0,0,1,0,1,1,0,0,4
Zfp9,11,0,0,0,0,0,0,0,0,0
Ankrd26,13,30,9,0,0,1,0,1,8,12
Cacna1c,0,6,0,0,0,0,0,0,0,0
4931430N09Rik,0,0,0,0,0,0,0,0,0,0
Dcp1b,27,33,11,10,0,29,11,14,8,39
Cacna2d4,1,0,4,0,0,23,24,8,1,1
Lrtm2,0,0,0,0,0,3,0,0,0,0
Adipor2,112,107,202,83,129,125,77,155,35,153
Wnt5b,0,5,0,0,0,3,0,3,0,2
Fbxl14,231,180,250,253,87,177,91,250,55,300
Erc1,1,21,6,6,5,4,8,11,0,4
3110021A11Rik,0,0,0,3,0,0,3,0,0,0
Rad52,16,25,49,14,21,16,10,25,46,20
Wnk1,211,337,291,132,114,229,144,217,79,338
Mir706,0,0,0,0,0,0,0,0,0,0
Ninj2,0,0,0,0,0,2,1,0,0,7
B4galnt3,0,0,0,0,0,0,0,0,0,0
Ccdc77,8,0,2,0,0,9,12,5,9,13
Kdm5a,201,219,165,61,100,177,71,167,41,206
Il17ra,135,126,104,120,126,186,85,321,131,259
Cecr6,0,0,5,0,0,1,0,0,0,0
Cecr5,9,14,17,27,7,32,5,22,21,32
1700072O05Rik,0,0,0,0,0,0,0,0,0,0
Cecr2,0,5,0,0,0,1,0,0,0,3
