,pvalue,weighted_pvalue,log2FoldChange
Actn1,6.02E-20,5.60E-20,-2.033098413
Tha1,4.72E-14,5.15E-14,-2.031965884
Rab3ip,1.86E-44,1.76E-44,-2.024172105
Nck2,2.17E-26,1.99E-26,-2.023840977
Tspan32,2.33E-14,1.82E-14,-2.022174001
Trav14n-3,3.65E-14,3.05E-14,-2.018566022
Ggt5,4.75E-06,6.03E-06,-2.014615918
Ntrk3,1.46E-20,1.44E-20,-2.014346355
Timp2,3.25E-05,2.97E-05,-2.010406949
Gm37176,0.0002232,0.00033298,-2.007654897
Trib2,2.10E-33,1.96E-33,-2.002217614
Cacna2d2,0.000247809,0.000289127,-1.988979254
Gm14230,0.000106591,0.000290003,-1.985458293
Ada,4.37E-11,4.77E-11,-1.983341353
Zfp422,2.26E-14,1.38E-14,-1.963148325
Gm26930,0.000842071,0.002300801,-1.960905061
Gm26551,0.000113018,0.000144061,-1.95418295
Klhdc1,2.92E-19,3.00E-19,-1.950537523
Tmlhe,6.88E-22,6.70E-22,-1.948909788
Espn,4.17E-07,3.49E-07,-1.934287651
Gnat1,4.56E-05,4.68E-05,-1.932708136
Ube2c,0.000576115,0.000627651,-1.923889063
Afp,2.44E-09,3.10E-09,-1.916090401
Trat1,4.09E-07,3.99E-07,-1.915589333
Kctd15,0.00129305,0.0019556,-1.909524397
Gm37124,0.002151798,0.00353854,-1.90789048
Tnfrsf12a,7.24E-12,7.17E-12,-1.904014662
Gm6934,6.92E-10,5.79E-10,-1.903941324
Cnga1,4.20E-15,5.32E-15,-1.903096276
Msl3l2,9.35E-12,9.23E-12,-1.897514347
Gm20069,3.44E-08,3.75E-08,-1.894583214
Smad1,1.17E-34,1.07E-34,-1.890010388
Mex3a,0.000825626,0.001143423,-1.8873497
Ube2cbp,5.40E-09,5.35E-09,-1.876633025
Susd1,6.74E-10,5.64E-10,-1.873287498
Rab4a,2.43E-05,2.65E-05,-1.872749267
Gm11346,2.26E-15,2.07E-15,-1.87158164
1700025G04Rik,7.86E-18,4.80E-18,-1.869805953
Sgip1,2.01E-05,2.35E-05,-1.869150992
Nt5dc2,4.70E-05,5.12E-05,-1.859771226
Dctd,4.33E-12,4.28E-12,-1.854508201
Nxnl1,2.56E-05,2.99E-05,-1.854275638
Max,5.79E-09,5.52E-09,-1.849623437
Klhdc2,5.21E-14,4.96E-14,-1.848981791
Prg4,0.000185199,0.000503871,-1.844756558
Trim13,3.62E-48,3.53E-48,-1.838510202
1810006J02Rik,4.68E-10,5.10E-10,-1.838183886
Tubb2a,6.25E-18,4.71E-18,-1.837191872
Fbxo17,1.68E-06,1.60E-06,-1.830894635
Marcksl1,5.78E-06,5.72E-06,-1.82548793
Bmp7,0.000681569,0.00064927,-1.82277662
Pik3r2,6.83E-08,7.01E-08,-1.820637555
Lman1l,0.000549193,0.000640763,-1.815341819
6330537M06Rik,0.000284425,0.000393906,-1.81329277
Ikbke,3.66E-29,3.18E-29,-1.808576039
