,pvalue,weighted_pvalue,log2FoldChange
1700001K19Rik,0.059036189,0.091313326,0.509276291
Snord13,0.037152901,0.036803417,0.509615
Rnf13,2.13E-05,2.75E-05,0.509855303
Irak4,6.01E-06,4.71E-06,0.510450733
6430531B16Rik,0.060389675,0.099308265,0.510459075
Pgghg,0.004812305,0.004691689,0.510554094
Gm10851,0.050828112,0.075827702,0.510696712
Cpeb2,0.013498748,0.013257318,0.510841794
Dido1,0.001143476,0.001090741,0.511035591
Tbkbp1,0.030738368,0.029281721,0.511380846
Pmvk,0.004606777,0.005872142,0.511646145
Crebrf,0.000818532,0.00061729,0.511713091
Os9,1.10E-08,6.98E-09,0.512973047
Fut8,1.63E-07,1.49E-07,0.513196574
Kremen2,0.016192949,0.020552978,0.513505336
Atp6v0b,0.000218301,0.00020769,0.513850068
Amfr,4.16E-05,2.64E-05,0.513967673
Ehmt2,1.25E-05,1.45E-05,0.514005444
Hoxb4,0.050793032,0.078563348,0.514679713
Ssbp4,0.000115727,0.000134386,0.514747861
Sgo2a,0.027703154,0.032322238,0.515319575
Tppp3,0.057329875,0.056790593,0.515694154
Uap1,0.001747764,0.002253983,0.515732848
Pelo,0.013533371,0.01474398,0.515907663
Map3k4,2.94E-07,2.73E-07,0.515940091
Mroh1,5.83E-05,5.52E-05,0.516650415
Tmem140,0.0166999,0.015908516,0.516766954
Vmp1,3.60E-11,3.35E-11,0.516820262
2600006K01Rik,0.059446215,0.088684582,0.516949974
Dnah10,0.060216895,0.099024136,0.517037723
Fkbp2,0.001403433,0.001384218,0.518183376
Mphosph6,0.000718472,0.0005632,0.51821922
Ate1,2.22E-05,2.12E-05,0.518228353
Gclm,0.00010959,8.59E-05,0.518356954
Creb3l2,0.0099586,0.012640001,0.51836392
Ncoa1,0.000175651,0.00016755,0.518484295
Foxn2,0.000634757,0.000497577,0.518773972
Klc4,0.002313847,0.002255853,0.519033477
Polk,0.001535562,0.001514538,0.519327625
Aacs,0.000398087,0.000364452,0.519717235
1110008P14Rik,0.001214815,0.001246573,0.519984338
Rufy1,1.51E-05,1.38E-05,0.520882685
Fanca,0.008672753,0.011007933,0.521775186
Mfn2,1.17E-06,1.08E-06,0.522967237
Gm12195,0.042437898,0.064182818,0.522972838
Carns1,0.014973235,0.01370279,0.523188305
Wdr44,1.17E-06,1.04E-06,0.523447617
Itm2b,8.43E-05,5.16E-05,0.524217826
Rasip1,0.057635217,0.157477451,0.524414152
Agfg2,0.003677052,0.00358489,0.52485724
Fancm,0.010587588,0.01032222,0.525237114
Dhrs7,0.002402435,0.002196171,0.525849625
Mkrn2,5.19E-05,4.75E-05,0.527750938
Lrrn4cl,0.053315084,0.0876744,0.528695512
Zswim9,0.006449128,0.007026026,0.528874449
Trps1,0.022353732,0.021793456,0.528951928
Gm37900,0.047073074,0.07119303,0.529772519
Blcap,0.000255722,0.000324577,0.530251332
Aldh16a1,2.40E-05,2.13E-05,0.530655813
Stimate,0.001780828,0.001736193,0.530926845
Edem3,0.004612122,0.004109535,0.531003123
Golga3,4.63E-06,4.39E-06,0.531404264
Tspo,1.83E-05,1.59E-05,0.531539436
Sfn,0.010878197,0.00969279,0.531541761
Pcmtd1,0.00169049,0.001547655,0.532434604
Gm37262,0.034833062,0.033182373,0.532869032
Ebp,4.31E-05,3.95E-05,0.532987175
Pcyox1,0.01966012,0.019390941,0.534195457
Gm12749,0.040837187,0.047646173,0.53430993
Kdsr,4.77E-08,2.91E-08,0.534557196
Acat2,0.00042107,0.00033007,0.534741047
Gorasp1,0.014273308,0.014139044,0.53475338
H2-D1,8.37E-05,5.31E-05,0.534786946
Wfs1,0.024412113,0.023255258,0.534788802
Entpd7,0.019948574,0.025427944,0.534931569
Gna15,0.007918138,0.004831098,0.535573102
Mthfd2l,0.004953357,0.004146141,0.535692958
Kif15,0.031424074,0.031128479,0.535790389
Slc20a1,0.003485275,0.002161706,0.536032625
Git1,2.47E-08,2.35E-08,0.536639824
Ndrg1,0.013515732,0.013176972,0.536764782
Gm26660,0.030985402,0.084301835,0.53858189
Mars,3.97E-10,2.45E-10,0.538745541
Capn5,0.056121376,0.055593462,0.538804265
Dop1b,6.83E-05,6.51E-05,0.538904583
Cmpk2,0.01329948,0.013117389,0.539440964
9930017N22Rik,0.02904098,0.079349045,0.539492664
Sik3,1.66E-06,1.58E-06,0.539669691
Rasgef1b,0.020644199,0.02027497,0.539947026
Cox17,0.0001204,0.000118247,0.5400855
Dync1h1,0.000122911,7.53E-05,0.540103782
Gmfb,6.32E-06,5.79E-06,0.54016137
Gls,6.41E-07,3.93E-07,0.540170813
Dmac2l,0.007679343,0.007607106,0.540490871
9930111J21Rik1,0.003510277,0.003348388,0.540729173
Vps37a,0.000105819,9.69E-05,0.540790732
Mir142hg,0.001188116,0.001158337,0.54103077
Casp7,0.000355498,0.000346588,0.541127935
Tor1aip1,1.02E-05,9.72E-06,0.541453084
Ttyh2,0.03773578,0.10310596,0.542042603
Acap2,0.000888375,0.000842149,0.542443804
Lztr1,3.41E-05,3.12E-05,0.542595402
Lime1,0.011869553,0.011307072,0.542637369
Hist2h4,0.015057294,0.015450927,0.542647874
Rab6a,2.71E-07,2.52E-07,0.542742791
Raph1,0.03929355,0.049873529,0.543071924
Pea15a,0.001595638,0.001852917,0.543675291
Eif2ak4,0.004549341,0.004467974,0.543689092
C530050E15Rik,0.02667165,0.029057527,0.545246349
Gabpb2,0.000399024,0.000389023,0.54550727
Akap7,0.041093238,0.111802175,0.546294134
Gbf1,1.85E-07,2.15E-07,0.546368653
Fbxw4,0.000136488,0.000133067,0.546567103
Star,0.019839593,0.019652969,0.546787044
Mogs,0.000110504,6.77E-05,0.547024913
Mapkbp1,0.009643082,0.012291793,0.547213387
Mef2a,1.30E-05,1.24E-05,0.547899585
Gm42820,0.037976171,0.057190717,0.548777504
Pdlim7,0.007087577,0.006909933,0.548889285
Fam57a,0.017597958,0.01805801,0.548898963
Nipal3,5.62E-06,5.55E-06,0.549913514
Gns,0.001001979,0.000955769,0.550482601
4930580E04Rik,0.043402606,0.06713232,0.550517742
Cpeb3,0.031069063,0.036249361,0.550628902
Bloc1s5,0.002141518,0.002333085,0.551042932
Gm38140,0.048728201,0.067484501,0.551311425
Ids,0.00571556,0.007371003,0.551342557
Kcnc1,0.003342173,0.003296414,0.551608324
Trbv19,0.00082235,0.000620169,0.551914843
Ccdc40,0.038789515,0.105534447,0.551984587
Gm9574,0.033121627,0.090498652,0.552332297
Lpxn,1.10E-05,9.52E-06,0.552381673
Mfsd10,0.000235161,0.000214971,0.553453965
Smarcc2,6.25E-07,3.96E-07,0.553629761
Alg2,0.003804386,0.003736343,0.553712893
Klra9,0.039938442,0.046597576,0.55386287
Wdr91,2.79E-06,2.55E-06,0.554096329
Alcam,0.024237691,0.030763807,0.554192261
Klc1,7.92E-08,5.97E-08,0.555198962
Chd9,7.56E-05,4.61E-05,0.555324927
Pak4,0.00072296,0.000787631,0.555507251
Gm18988,0.034436664,0.051374191,0.55595092
Lasp1,0.001168037,0.001012686,0.556056376
Lrrfip2,0.000396753,0.000389657,0.556378148
Adarb1,0.024335472,0.028393045,0.557766988
Ckap5,5.34E-05,5.09E-05,0.557909781
Plcg2,0.02679766,0.026430757,0.559041018
Trim16,0.047454687,0.039721308,0.55907958
Cavin1,0.051421091,0.087625567,0.55910973
Avil,0.041636888,0.062971375,0.559775578
Dis3l,3.27E-06,1.99E-06,0.560671859
H2-M3,4.62E-05,4.40E-05,0.560772734
Slc39a8,0.008360918,0.00828227,0.561386925
Cpt1a,0.002880583,0.003345044,0.561543724
Vwa7,0.032274459,0.044697439,0.561770613
Rb1,0.002416691,0.001822529,0.562003901
Syne1,0.000207115,0.000156194,0.5620802
Tagln2,0.000218179,0.000133586,0.562675631
Fry,0.002464259,0.00252868,0.562823765
Lrba,0.008260306,0.007559438,0.563895893
Ctsb,0.002446789,0.002121361,0.563995615
Slc4a8,0.004574839,0.005806637,0.56437244
Ankrd35,0.045207543,0.122995945,0.564379711
Stx12,0.001922808,0.001759663,0.564506829
Supt20,3.78E-05,2.31E-05,0.564575136
Slc24a1,0.048862207,0.048402577,0.564773482
Msantd4,0.001592394,0.001552482,0.564845647
Pomt2,0.0071437,0.007330453,0.566427968
Ubash3a,0.000422651,0.000268097,0.567180207
Myef2,0.000970688,0.00123205,0.567996279
Dusp1,0.003085035,0.001888901,0.56837824
Gm2629,0.039948623,0.038055516,0.568947179
Mcur1,6.98E-07,6.38E-07,0.569362501
Atp7a,0.001006907,0.00098167,0.570132094
Fut11,3.56E-07,2.79E-07,0.57044556
Gm45235,0.037437433,0.101855845,0.5707655
Mblac2,0.000734982,0.000728068,0.571074517
Rnf11,0.000121355,0.000111101,0.571095408
Nr1d2,0.005059151,0.004704498,0.57216989
Fam45a,0.000438182,0.000401003,0.572322702
Tm9sf2,6.51E-07,4.04E-07,0.573959636
Slc8b1,0.001952954,0.001934584,0.574180618
Hnrnph3,4.27E-05,3.80E-05,0.574407785
Cep76,0.00016162,0.000160099,0.575256787
Csnk1g1,0.002360597,0.001850437,0.575266222
Creld2,9.59E-06,8.76E-06,0.576410172
Arf6,3.48E-05,2.15E-05,0.576586121
Cers5,2.04E-05,1.87E-05,0.577361852
1810055G02Rik,0.010370875,0.010273319,0.577560831
A430046D13Rik,0.008575162,0.008799337,0.577748868
Slc39a9,6.90E-05,5.41E-05,0.577788271
Ecpas,7.50E-06,8.71E-06,0.578797767
Plpp5,0.007874699,0.00857912,0.578843194
Plod3,0.006060262,0.005977288,0.579293971
Uhrf1bp1,0.021051415,0.021601748,0.579724144
Gmnn,0.000353427,0.000350103,0.580196308
Rdh11,2.07E-06,1.85E-06,0.580386876
Jkamp,4.81E-05,4.77E-05,0.58098931
AC133451.2,0.046556018,0.072009811,0.581694246
Golga2,1.13E-05,1.08E-05,0.582023868
Hspa1a,0.006278124,0.006219068,0.582069254
Tubb4a,0.0283402,0.028073614,0.582419661
Gm37494,0.000970464,0.000995834,0.583240778
Rell1,0.000357973,0.000327238,0.583326448
Fam131a,0.041101124,0.063572537,0.584210773
Vat1,0.010880435,0.011853729,0.584634496
Slc33a1,0.003437383,0.00374487,0.584880922
Ifit3b,0.024863191,0.024629312,0.584933631
Tbx2,0.045111263,0.122733998,0.585114061
Dnajb13,0.001845495,0.002010581,0.585697695
Agpat2,0.001151234,0.00118133,0.585912495
Arl13b,0.000691462,0.000681995,0.586297469
Ap5m1,4.51E-05,5.82E-05,0.586706373
Nradd,0.01761248,0.01677785,0.58672086
Synj1,1.06E-05,1.01E-05,0.58685161
Zfp318,2.38E-05,2.35E-05,0.587259182
Plpp1,0.043679558,0.074433389,0.587324732
Smpdl3a,0.001498008,0.001392996,0.587386829
Kbtbd3,0.000284384,0.000360956,0.587866355
Cpsf2,0.00018253,0.000174112,0.587979128
Gas2,0.012938389,0.010829905,0.588392261
Arhgap18,2.33E-05,1.42E-05,0.588813032
Ppp1r16a,1.28E-06,1.00E-06,0.589141535
Rnf135,0.013157052,0.013501008,0.58940988
Sec23a,0.000627848,0.000492161,0.589606162
BC004004,1.15E-07,1.05E-07,0.590464826
Tbc1d8b,0.000775108,0.000844445,0.591165388
Scly,3.32E-06,2.96E-06,0.591555698
Wwc2,0.017090744,0.016929977,0.592002939
Tmem150a,0.034028022,0.05124495,0.592074505
Dnajc14,7.42E-05,7.08E-05,0.592123419
Nhlrc3,0.000139356,0.000138045,0.592172823
Actrt3,0.027298946,0.074589264,0.592218883
Lipo3,0.005712457,0.007250564,0.592393823
Skap2,0.013585539,0.013940697,0.59243099
Hdac6,4.69E-05,4.29E-05,0.592489649
Mtbp,0.000742083,0.000761483,0.592499081
Gm20743,0.0381026,0.036296973,0.593057714
Nrbp2,0.035484295,0.049142794,0.593139136
Card10,0.04449143,0.044072916,0.593146664
Piezo1,0.004652892,0.004438308,0.594066282
Nol10,0.000150361,0.000146593,0.594184745
Paqr4,0.007971516,0.01016109,0.594259674
Slc25a10,0.006078522,0.006237428,0.594400636
Zmat1,0.003154932,0.003437152,0.595150694
Slc48a1,0.001816293,0.001770769,0.595283157
Rexo5,0.000225273,0.000200725,0.595419504
Slc41a3,0.003001477,0.003825906,0.595444896
Plekha5,4.68E-08,4.28E-08,0.5957444
Cep250,2.04E-10,1.90E-10,0.59586089
Rftn1,0.000358429,0.000222312,0.597667688
Ryr1,0.022818761,0.026623446,0.597763231
Popdc2,0.024174731,0.020235134,0.598208515
Amigo1,0.011903479,0.012214663,0.598361458
Ltbp4,0.038037732,0.039032127,0.599607239
E330009J07Rik,0.000646457,0.000663357,0.600155159
Dhrs11,0.001465939,0.001445868,0.600353379
Ubxn4,3.74E-06,2.31E-06,0.600578889
Tmx3,7.85E-06,9.12E-06,0.600721291
Thbs3,0.029649913,0.050525774,0.601074761
Zfp52,7.62E-05,6.98E-05,0.601456287
Pros1,0.038851362,0.04931228,0.601628066
Rwdd1,1.36E-08,1.25E-08,0.602878677
Ttc21b,2.14E-05,2.11E-05,0.602941605
Itgb2,3.18E-07,1.97E-07,0.603386314
Asxl2,4.16E-06,3.81E-06,0.603638495
Dnase2a,0.002924563,0.003727866,0.603903074
Aqp1,0.042402823,0.043511332,0.604179635
Spry1,0.000568638,0.000554385,0.605168345
Mboat4,0.010319284,0.010222214,0.605252868
Ogfod3,0.000897704,0.000921172,0.605339454
Mafa,0.017701602,0.048160665,0.605653807
Znfx1,5.51E-05,6.40E-05,0.605688135
Pdzd8,1.01E-06,9.58E-07,0.60579256
Abcb4,0.031122351,0.053034924,0.606040988
Ccser2,0.000345436,0.000329505,0.606550099
Gm26819,0.005744429,0.005472209,0.606830753
Cars,0.000151851,0.000141206,0.607103786
C1qtnf6,0.008488338,0.007105049,0.607197957
Diaph1,0.00020548,0.000196004,0.608073997
Gm47583,0.024702926,0.042095721,0.608282425
St8sia4,4.21E-06,4.01E-06,0.609317632
Phf11b,0.000815337,0.000746446,0.610628703
Kpna3,1.79E-07,1.64E-07,0.610996638
Vps37c,4.59E-06,4.47E-06,0.611296201
0610040J01Rik,0.042987824,0.065014523,0.611384773
Runx3,2.44E-06,1.49E-06,0.611592512
Rab11fip1,3.11E-05,4.01E-05,0.61197587
Slc6a8,0.031627623,0.047630038,0.612111197
Lclat1,4.93E-05,4.84E-05,0.612210679
Ankfy1,1.49E-05,9.23E-06,0.612583291
Caskin2,0.0051243,0.006504043,0.612679319
Ccnc,0.00014601,8.91E-05,0.612693776
Gm2044,0.040948601,0.067338242,0.612780038
Ric1,0.002458673,0.002190749,0.612922548
Csgalnact2,0.000203137,0.000185901,0.61311841
Tbc1d31,0.00249022,0.003160724,0.613382805
Tbx3,0.042143415,0.049170194,0.614610356
Gm16214,0.011650502,0.031832818,0.614752242
Bmp6,0.035651102,0.058626729,0.615122662
Bnip3,0.007147749,0.007334608,0.615690252
Apc2,0.040015325,0.060261608,0.616000548
Sc5d,2.06E-05,2.01E-05,0.617058725
Rmnd5b,5.13E-05,4.88E-05,0.617110529
Tm7sf3,0.002881908,0.002567864,0.617511083
Spef2,0.001181153,0.001505586,0.618814678
Hist1h2ac,0.003498018,0.003332252,0.619909634
Man2b2,0.000264444,0.000257816,0.620287801
Helq,0.00020163,0.000158055,0.62133395
Cebpb,0.004448446,0.003856793,0.621552657
Col3a1,0.040009223,0.050781899,0.621738886
Klc2,0.000861758,0.00109379,0.622069396
D030056L22Rik,0.000142513,0.000111714,0.622213161
Fuom,0.012844141,0.012723321,0.622284099
Kctd21,0.036368355,0.050367144,0.62298193
Slc35c2,8.49E-06,8.10E-06,0.62335996
Ppip5k1,3.70E-05,3.63E-05,0.623560767
Crlf2,0.000546789,0.000541646,0.623704833
Camk2g,2.20E-05,2.26E-05,0.623726967
Ppp1r15b,0.00026648,0.000169035,0.624118365
Eogt,0.000254895,0.000251405,0.62496947
Zfp511,1.14E-05,1.04E-05,0.625417774
Rnf141,0.000369957,0.000471575,0.62608993
Lrp8,0.002543766,0.002480008,0.626399841
Rnf128,0.028357107,0.023735935,0.626895366
Cd52,0.000549533,0.000476444,0.626915712
Hist1h2be,0.012325836,0.012209891,0.628128515
Gm45807,0.039071217,0.058839816,0.628536908
Gpam,6.78E-05,6.71E-05,0.628675788
Slc39a13,0.001505836,0.001545202,0.628822203
Nucb1,5.66E-09,3.59E-09,0.62958059
Xkr6,0.026125346,0.038974987,0.630234522
Ralgapa2,0.001052209,0.000937549,0.630363825
Kctd9,0.00016388,0.000160949,0.630959875
Exoc8,0.000961934,0.000948764,0.631178565
3830406C13Rik,1.24E-05,1.22E-05,0.631207976
Npc1,1.91E-06,1.75E-06,0.63211755
Sema4d,4.48E-05,3.88E-05,0.632117823
Rab11fip4,3.23E-07,2.96E-07,0.632320636
Map4,8.58E-10,5.30E-10,0.633458605
Ppfia4,0.039752239,0.059304208,0.6337009
Pdik1l,0.003603756,0.003569857,0.633800343
N4bp3,0.004416923,0.004532392,0.634624141
Mapkapk2,8.86E-06,7.69E-06,0.63468116
Dusp2,0.001651004,0.001019664,0.63589568
Eln,0.039044774,0.054073761,0.636107554
Atp6v1a,3.83E-07,3.51E-07,0.636293324
Phka2,0.001512006,0.001491304,0.63633957
Tecpr2,0.003630248,0.004627385,0.637268345
Cpeb4,0.000132724,0.000168461,0.638390989
Cerkl,0.007901997,0.00860886,0.638590831
Acaca,0.004731304,0.00600523,0.638845264
Leprot,0.000331126,0.000295043,0.63919362
Gm49553,0.018101232,0.023073183,0.639738583
Vav3,0.000359099,0.00032863,0.640005101
Crb3,0.023489648,0.027406193,0.640154433
Snx10,0.000935771,0.000856373,0.640546137
Dock6,0.010251206,0.011168214,0.640703022
Tmed1,0.004783188,0.004908232,0.641407576
Snx30,4.81E-05,4.74E-05,0.641854256
Slfn9,0.010878894,0.011163294,0.642355907
Arg1,0.026875525,0.041569309,0.643481706
Gm37954,0.02672841,0.03118497,0.644152299
Dock10,2.06E-05,1.26E-05,0.644389
C2cd2l,6.92E-05,6.17E-05,0.64686292
Stk35,0.000248696,0.000317007,0.648012425
Hspa1b,0.002576066,0.002540795,0.648059984
Ccdc181,0.001633998,0.002082816,0.648104385
6720464F23Rik,0.033916571,0.057796494,0.650111916
Trav16,0.000631605,0.000805091,0.651162144
Alg9,1.71E-05,1.56E-05,0.651797606
Fxyd5,1.91E-05,1.18E-05,0.652086451
Gtf3c1,2.05E-10,1.94E-10,0.652602847
Atrn,2.55E-05,2.51E-05,0.653111519
1700020I14Rik,1.68E-06,1.53E-06,0.654826019
Ppp1r16b,0.001483943,0.000941299,0.655392154
Sirt3,0.000309492,0.000306581,0.65642678
Gm16523,0.033344446,0.049744769,0.656623491
Fos,0.002049214,0.001265599,0.65679662
Idh1,0.016853411,0.021482617,0.656809256
Hells,0.000930105,0.00091737,0.657485967
Itpr1,0.000757262,0.000976594,0.658145918
Zzef1,0.000441319,0.000410382,0.658921809
Slfn8,0.002270137,0.002927656,0.659028446
Gm17590,0.027601094,0.075094166,0.659551202
Snx14,0.000300716,0.000387815,0.659583588
Bcar1,0.022956007,0.062722995,0.66023657
Ccdc80,0.035496662,0.049159921,0.661007526
Anxa7,2.67E-06,2.54E-06,0.661008378
Ccdc127,1.44E-07,8.80E-08,0.661027235
Cst3,0.000574805,0.000667485,0.66144123
Sorl1,7.66E-05,6.64E-05,0.662053665
Srebf2,1.20E-06,7.42E-07,0.662268894
B230354K17Rik,0.00178919,0.001772359,0.662285557
Paox,0.000684873,0.000678431,0.662630595
Btbd10,1.03E-06,9.42E-07,0.663084924
Iars,6.79E-07,6.48E-07,0.663347577
Ntan1,1.76E-08,1.68E-08,0.663464527
Bbs12,0.015173393,0.012700685,0.663531387
Naprt,0.022852901,0.062441277,0.663997305
Igfbp7,0.031587067,0.031289939,0.664340482
Igf2r,0.000181819,0.000112292,0.66449524
Tesk1,3.50E-05,3.12E-05,0.665210643
Acap3,5.67E-16,5.39E-16,0.665285209
Dcun1d4,5.17E-05,5.04E-05,0.665990654
Tbc1d10b,5.11E-05,5.93E-05,0.666478324
Tbl2,4.07E-05,2.48E-05,0.668001655
Lilrb4a,0.026432466,0.020720018,0.668060834
Flii,4.25E-16,3.69E-16,0.668222905
Luzp1,0.004465505,0.004864961,0.668355565
Fcho2,3.37E-05,2.54E-05,0.669582172
Zfp677,0.003769624,0.003868171,0.669720471
Slc9a3r2,0.035124761,0.038266799,0.669838151
Prex1,2.10E-06,1.33E-06,0.670004142
Il10rb,9.17E-06,8.53E-06,0.670686623
Cltc,1.36E-06,8.33E-07,0.672248911
Mmgt2,0.000845894,0.000824693,0.672661296
Hist1h4i,0.003605054,0.003571142,0.67281902
Chst11,0.011692797,0.011582807,0.674391424
Sars,4.34E-08,2.69E-08,0.674458172
Gm15912,0.032110112,0.05280372,0.675487513
9930111J21Rik2,0.002496305,0.00188257,0.675944538
Cpped1,0.000834524,0.000826674,0.675962077
Cnksr1,0.03296418,0.054208199,0.676128377
Zfp712,0.010028567,0.009934232,0.676560936
Gm42748,0.015119436,0.014402947,0.676937835
Irf2bpl,4.71E-08,4.08E-08,0.677048757
Bcat1,0.009899615,0.010158414,0.677380164
Hmox1,0.018529739,0.01901415,0.677490263
Bmp2k,0.00027857,0.00027595,0.678198185
Susd2,0.020141345,0.020667887,0.6782524
Pdpr,0.000807601,0.000828713,0.678589541
Degs1,1.05E-05,9.96E-06,0.678616559
Gm28100,0.032432031,0.05016375,0.678767619
Cd8a,4.02E-05,2.50E-05,0.678820921
Rsph3b,0.001953189,0.002479094,0.678968952
Zfp367,0.001519694,0.001655637,0.678978587
Gm43775,0.013387271,0.036578215,0.679078754
Gm20628,0.017581374,0.048037817,0.679417158
Arfgap3,9.21E-05,8.98E-05,0.679488437
Fam214b,0.00448859,0.005697165,0.679550596
Dync1li2,6.11E-05,5.83E-05,0.680570531
Pxn,1.05E-08,6.63E-09,0.681818789
Zfp28,0.007544734,0.009576191,0.682404277
Smyd3,4.78E-06,4.44E-06,0.682717333
Ndfip2,6.90E-11,6.54E-11,0.683210222
Tlnrd1,0.000361223,0.000370666,0.683223938
Gm20707,0.002127234,0.002026428,0.683466458
Tctex1d2,0.019087807,0.022270411,0.683911171
Creb3l1,0.008218249,0.01400454,0.684333608
Cep89,9.06E-05,8.84E-05,0.684812539
Rps6ka1,3.76E-06,2.38E-06,0.685009514
Ttn,0.025526747,0.029782947,0.685865729
Lax1,3.74E-08,3.25E-08,0.68592146
Gm33782,0.004949535,0.005078927,0.68598753
Kantr,0.001695891,0.002152518,0.686228916
Sowahc,0.008608621,0.009378694,0.686356575
Gm16299,0.006607822,0.006780566,0.686933856
Ero1l,3.07E-05,2.81E-05,0.687120634
Alox15,0.031976426,0.044284688,0.687453575
Tef,0.001074748,0.001386036,0.688171493
Pxdc1,0.023319961,0.063717433,0.688428118
Mib1,3.14E-05,2.46E-05,0.689211349
St6galnac2,0.015235139,0.041450171,0.689276485
Ppp3ca,3.07E-07,3.56E-07,0.690114854
Phf1,9.58E-07,9.08E-07,0.690173571
Sytl3,0.000885922,0.000540528,0.690204836
D430042O09Rik,0.002417776,0.002374533,0.690786586
Secisbp2l,2.18E-07,2.07E-07,0.691393739
Sh3bgrl3,1.35E-06,1.17E-06,0.691968976
4930503L19Rik,0.000169846,0.000103628,0.693842669
Pcyt1a,0.000229406,0.000235403,0.694415364
Parp4,3.25E-05,2.89E-05,0.695406313
Pdxp,0.000886728,0.000966049,0.69646506
Washc5,2.48E-09,2.36E-09,0.696837686
Coprs,0.022561493,0.061382947,0.696978926
Card6,4.75E-05,4.34E-05,0.697436596
Acsl4,8.77E-07,7.81E-07,0.697582682
Tgfbr1,0.000162019,9.89E-05,0.698222217
Fbxw8,0.000107096,8.40E-05,0.699003178
Gm49396,0.002810804,0.002884285,0.699327936
Gm17315,0.019563458,0.053226208,0.699388255
Rab3gap2,4.74E-08,3.57E-08,0.699514528
Gm43860,0.004447723,0.012152572,0.700158954
Fpgt,1.48E-06,1.16E-06,0.701360312
Ncoa2,0.00012394,0.000115251,0.701426478
Map3k15,0.013619861,0.011400322,0.701654575
Tubgcp2,3.03E-10,2.89E-10,0.702436079
Met,0.02240129,0.034648855,0.703078544
Phlpp1,0.001694758,0.001664447,0.703336234
Ehbp1l1,7.87E-06,7.32E-06,0.703725192
Inpp5d,2.36E-12,2.05E-12,0.704278613
Spef1,0.017117048,0.026475534,0.705524636
Samd9l,1.91E-07,1.18E-07,0.705810269
Dhcr24,0.011359709,0.011656678,0.706075023
Rbl2,3.25E-06,2.06E-06,0.707255215
Tmem81,0.001670844,0.001714524,0.708378863
Clspn,0.006030357,0.005973631,0.708511339
Gm44829,0.02356176,0.064104367,0.708726446
Slc9a1,2.59E-05,2.37E-05,0.709743791
Pag1,0.000377566,0.000360154,0.709989687
Gvin1,0.002724436,0.003458004,0.711179016
Tcirg1,1.99E-07,1.26E-07,0.711396629
Zfp839,0.002646238,0.002621345,0.712104153
Serpinb6a,0.000112861,6.89E-05,0.712634974
Pmepa1,0.00143529,0.001851005,0.712733297
Lrrfip1,4.12E-11,2.61E-11,0.713018426
Tnnt3,0.002866843,0.002399653,0.713121506
Tmem189,1.73E-14,1.65E-14,0.7134958
Tor3a,1.86E-05,1.81E-05,0.713608973
Zyx,8.58E-08,5.44E-08,0.713856685
Nf2,3.68E-06,3.49E-06,0.714799463
Fam204a,6.34E-11,5.79E-11,0.716552955
Muc1,0.022732102,0.061847123,0.717358685
Map3k6,0.029742615,0.048910472,0.71896518
Cdr2,0.000457044,0.000452745,0.719476498
Sparcl1,0.029406783,0.080348535,0.720497549
Cds2,1.60E-07,1.51E-07,0.720671972
Otub2,0.008809471,0.011181463,0.721046201
Gldc,0.020823633,0.032208638,0.722131923
Ikbip,0.013886746,0.037942935,0.723034819
Elk3,6.87E-08,8.86E-08,0.723217419
Cchcr1,0.000199355,0.000194358,0.725590016
Ryk,0.009783571,0.012417845,0.72577609
Ccdc82,8.22E-05,7.84E-05,0.726189809
Mthfd2,5.16E-05,6.65E-05,0.726233969
Tgfa,0.02758754,0.032187346,0.726345741
Trp53i11,6.53E-06,6.07E-06,0.727863269
Nudt4,6.09E-06,5.57E-06,0.728009897
Zfp518b,0.028701693,0.07808856,0.728515298
Gtf2a1,5.33E-05,3.25E-05,0.729271597
Tiam2,0.014202241,0.038804967,0.729281369
Elk1,3.82E-07,3.78E-07,0.730907165
Tbx6,0.001411694,0.00118164,0.73160076
Trim14,1.54E-05,1.99E-05,0.73235664
Vcam1,0.028273284,0.042179378,0.733154953
Pfn2,0.007934461,0.008644228,0.733219187
Wdr47,5.91E-07,6.07E-07,0.733554991
Il15,0.012268703,0.012153295,0.733591935
Mbd2,1.69E-07,1.07E-07,0.733821059
Phc3,0.00025357,0.000231799,0.738096599
Fbxo42,3.74E-09,2.82E-09,0.738640325
Paqr7,0.00087411,0.000778858,0.739393856
Elovl1,1.38E-08,1.77E-08,0.740693227
Cdc42ep2,0.027529951,0.042581532,0.742176107
Otud7b,3.00E-05,3.08E-05,0.745305739
Stx3,0.005007429,0.004191401,0.745370853
Tanc2,0.001932723,0.001884281,0.745588361
Lta,0.000229756,0.000235762,0.746438215
4930517E14Rik,0.017847773,0.026992863,0.747021739
Lpar5,0.002228426,0.002286682,0.747622941
Tafa3,0.013954251,0.013822989,0.748930195
Slc20a2,5.17E-06,5.10E-06,0.749256914
Ep300,5.15E-05,4.91E-05,0.749655036
Uhmk1,0.000223127,0.000211516,0.749804801
Tmem109,1.28E-08,1.22E-08,0.75013755
Rabgap1l,2.15E-09,2.05E-09,0.750342885
Smad6,0.025711918,0.039769517,0.750463027
Sh2b1,3.68E-26,3.49E-26,0.750765307
Ap5b1,0.004412659,0.004352243,0.751055408
Frmd4b,2.33E-08,2.21E-08,0.752664869
Agpat4,4.56E-07,2.78E-07,0.753434394
