"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"JARID2",1227.08685295243,-0.598777430571855,0.185038333013186,0.000955537972218402,0.00208287725546097,"JARID2"
"DTNBP1",1263.92738639823,-2.91098940982559,0.321697792900916,1.90138548914909e-20,1.40708068248495e-19,"DTNBP1"
"MYLIP",2266.40389410888,-1.39721162091194,0.210951283950806,1.08337997957065e-11,4.93826119652589e-11,"MYLIP"
"ATXN1",3026.21248666814,-0.910958675949793,0.160160083384787,7.51243690312372e-09,2.77029066966195e-08,"ATXN1"
"RBM24",457.24073504256,-4.22734727791085,0.494373390529518,5.65704933194455e-19,3.91890227367791e-18,"RBM24"
"CAP2",2446.13993943283,-4.55964396654165,0.398684886305153,1.01567109734896e-31,1.22213472839379e-30,"CAP2"
"KIF13A",3907.29722790321,-0.764562144595865,0.166588621344398,3.04751028993683e-06,8.89864826562251e-06,"KIF13A"
"KDM1B",817.672435044078,-0.881671603404199,0.13899443814463,1.36169234452091e-10,5.74369107857104e-10,"KDM1B"
"LNC-LBCS",53.566896891896,-3.66443491688441,0.722785730621169,2.61486010860789e-08,9.22284590518138e-08,"LNC-LBCS"
"ID4",3210.60303684311,-4.07801065102556,0.398235427453746,6.82952743063942e-26,6.44195703496257e-25,"ID4"
"E2F3",737.449796439978,-1.35079167362879,0.237016372381764,3.95678192080708e-09,1.4936349248077e-08,"E2F3"
"SOX4",1133.09714865705,-0.992482477303172,0.350234898692129,0.00239819720517119,0.00491694981493612,"SOX4"
"NRSN1",1256.772493151,-10.1355285499722,1.06825278442395,1.24517189647574e-22,1.02144997765014e-21,"NRSN1"
"KIAA0319",415.226671071231,-6.14208446265831,0.444929478865753,9.16877582589188e-45,1.76465630503757e-43,"KIAA0319"
"RIPOR2",1116.63579404119,-1.95504006707233,0.41185819034763,3.74142570248574e-07,1.18616042536559e-06,"RIPOR2"
"CARMIL1",876.693537632974,-2.61651414676979,0.372118668599821,2.86948699071403e-13,1.45127257878626e-12,"CARMIL1"
"H4C8",90.113525086571,-1.56909233779119,0.407941896861221,3.10559555826945e-05,8.15041604563662e-05,"H4C8"
"HCG11",327.0269079993,-2.85318497220864,0.342658356537475,1.10541523654352e-17,7.16262994720788e-17,"HCG11"
"HMGN4",1117.50833638761,-0.856903963060168,0.141194950422686,8.01619645517149e-10,3.19755770358353e-09,"HMGN4"
"ZNF322",294.672762097189,-0.688765170394275,0.193203263167172,0.000266788309631565,0.000626985454299977,"ZNF322"
"ZNF391",239.880243038057,-3.42159271270313,0.357010763517018,8.73403027300341e-23,7.20551584965055e-22,"ZNF391"
"ZNF184",302.504717270567,-0.546858917849065,0.24400348923837,0.020022989324345,0.0352278348296367,"ZNF184"
"ZSCAN16-AS1",535.699418721537,-0.614797095553782,0.178491563935155,0.000446900889781155,0.00102082241782594,"ZSCAN16-AS1"
"ZNF603P",14.4824532416629,-2.80542639017022,0.836802135321011,7.95925355516249e-05,0.00019898516927554,"ZNF603P"
"NKAPL",102.608641960071,-1.96455108675843,0.423622099620301,6.3448236630628e-07,1.96810977950045e-06,"NKAPL"
"ZSCAN31",312.158327633509,-0.736882465898971,0.280446653776538,0.00591107936561824,0.0114199654427578,"ZSCAN31"
"ZSCAN23",26.7012439951782,-1.62464800166562,0.56856963697318,0.00107516346266489,0.00232533578597368,"ZSCAN23"
"OR2H2",26.6732043728579,-6.26462469796386,0.864842284646664,1.48259066197019e-14,8.11098755579918e-14,"OR2H2"
"GABBR1",11613.6138097498,-5.03595879814073,0.288249515016897,7.51091843311788e-70,3.13902814680113e-68,"GABBR1"
"MOG",4242.56914984879,-11.6947601371388,0.816218207028867,3.80305917924659e-48,8.21757475277347e-47,"MOG"
"ZFP57",109.951558495072,-6.70545859139024,1.049442213659,5.90731641048359e-12,2.74650097784532e-11,"ZFP57"
"PPP1R11",2304.26706188134,-0.69829224289663,0.149551146881016,2.21457662869994e-06,6.54681798433932e-06,"PPP1R11"
"RNF39",45.5626690857855,-2.38687643028374,0.407868277985563,7.12623397317811e-10,2.85189768108259e-09,"RNF39"
"HCG17",10.1071077599374,-1.67997222368077,0.630283839821316,0.00184780471014405,0.00385596343177799,"HCG17"
"GNL1",4744.04015328139,-2.08474371942111,0.162082799424743,1.2732372740183e-38,1.99136139771641e-37,"GNL1"
"ATAT1",1002.38020014064,-1.2603830318,0.192912711844706,2.37277943065458e-11,1.05859526890838e-10,"ATAT1"
"FLOT1",8555.99144010091,-0.89624349475629,0.21227025236052,1.43173956357029e-05,3.90238050485739e-05,"FLOT1"
"DDR1",3582.56876283475,-3.96316119445047,0.291315614898297,2.1799006732349e-43,4.02515356433017e-42,"DDR1"
"HCG22",37.9286590536947,-4.84064782037822,0.983946655026943,2.83444105080838e-08,9.96502602065301e-08,"HCG22"
"PSORS1C1",41.9740356041189,-2.03614865623119,0.500244055275363,8.03553475185886e-06,2.24624862175322e-05,"PSORS1C1"
"TCF19",400.566289718975,-0.792244773711376,0.24907394595017,0.000965962631991878,0.00210319327584482,"TCF19"
"ATP6V1G2",1918.40346449454,-7.16744174593504,0.328045854088484,4.95781772312336e-107,5.33744991414839e-105,"ATP6V1G2"
"AIF1",718.866185906946,-0.839500831166896,0.406460718770404,0.0237773474778863,0.0412213750773166,"AIF1"
"PRRC2A",9865.471277881,-0.781722145430263,0.135751161035775,5.73753462881092e-09,2.13933995271059e-08,"PRRC2A"
"LY6G5C",141.604063682737,-2.46924351281663,0.265763423638278,2.35017947141587e-21,1.82103046682674e-20,"LY6G5C"
"VWA7",152.029507587526,-0.863510090786274,0.284893706470185,0.00147966086790379,0.0031301782851288,"VWA7"
"HSPA1L",166.543533362362,-0.996256002082331,0.405992113172452,0.00730542125224078,0.0139065460351153,"HSPA1L"
"SNHG32",4014.08827559891,-0.917560053898067,0.140165515714595,3.42070112747383e-11,1.50452578678714e-10,"SNHG32"
"EHMT2",3544.17639941827,-1.95528977659435,0.165676428100443,6.98780878882947e-33,8.85228982824397e-32,"EHMT2"
"ZBTB12",149.606404443354,-1.01032108962409,0.202972376654582,3.31660083336668e-07,1.05741814137906e-06,"ZBTB12"
"HLA-DPB2",10.7634871156323,-2.10505330279253,0.960901283520132,0.0047427775580691,0.00930445614048237,"HLA-DPB2"
"COL11A2",715.458830303333,-1.9822337906343,0.377008331379939,2.59302364873867e-08,9.15159768435178e-08,"COL11A2"
"B3GALT4",363.405835158535,-1.82585845731259,0.239289547332234,4.6394305728744e-15,2.60312212272126e-14,"B3GALT4"
"SYNGAP1",2041.74947399179,-2.7948101270622,0.234149327259383,1.11054574801031e-33,1.44655824303677e-32,"SYNGAP1"
"GRM4",625.998851648357,-9.05977802623637,0.585493408689276,4.30898953595816e-55,1.16178747072599e-53,"GRM4"
