"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"SERTAD4",537.223768374779,-1.37593968669862,0.325424358564782,5.56132837409178e-06,2.6575138972944e-05,"SERTAD4"
"HHAT",245.6093409412,-0.587901374015603,0.222534541301954,0.00596358217335994,0.0185714627239987,"HHAT"
"KCNH1",59.9192960562089,-4.20579766189777,0.499635267025154,1.2572078658038e-18,1.60427040759382e-17,"KCNH1"
"SLC30A1",5429.28637047716,-0.665862971487129,0.296142687198488,0.0160319653721891,0.0462611778970771,"SLC30A1"
"LPGAT1",5806.20055558984,-0.881486873986025,0.299075831257654,0.00156880382365137,0.00540779335623695,"LPGAT1"
"INTS7",718.152338545557,-0.88301007392296,0.170829339292969,1.15319872505907e-07,6.57267405213569e-07,"INTS7"
"PACC1",589.193530216564,-2.53082351531511,0.280897962209897,3.71080322162761e-20,5.21686369557587e-19,"PACC1"
"NENF",3224.04111701824,-1.52425051495366,0.126179963064452,2.6129935968933e-34,7.46669112240216e-33,"NENF"
"BATF3",221.041228922652,-0.974280682094256,0.365599966771592,0.00329274941061971,0.010735097520868,"BATF3"
"NSL1",991.918684363909,-0.604116964140679,0.109728778772366,2.69101016861458e-08,1.63025465314148e-07,"NSL1"
"TATDN3",736.066762588721,-1.02340907916542,0.139727142221222,9.17328878849146e-14,8.54031238588855e-13,"TATDN3"
"FLVCR1-DT",73.4919860723859,-1.05931796778981,0.20297033466456,6.51168701667586e-08,3.8080895156324e-07,"FLVCR1-DT"
"ANGEL2",2005.15335769507,-0.543537234867792,0.139335903219483,7.42100404604157e-05,0.000308313634936103,"ANGEL2"
"RPS6KC1",1459.97585246222,-0.814005238238997,0.14964128129045,2.92656920988457e-08,1.76674675643031e-07,"RPS6KC1"
"PROX1-AS1",485.137107714615,-5.13282316443794,0.503149611077109,4.72706101347163e-26,9.04800745971444e-25,"PROX1-AS1"
"PROX1",4576.71933874926,-1.69680903591253,0.518208918709884,0.000198716664703797,0.000780990656073303,"PROX1"
"KCNK2",477.791824276919,-3.83045832659781,0.620244580466075,3.07999044649196e-11,2.37549311139334e-10,"KCNK2"
"ESRRG",131.590014835245,-4.98795812631778,0.501794793791946,6.61611534477785e-25,1.19478968047682e-23,"ESRRG"
"SPATA17",27.6475936860593,-1.9821558001433,0.416081924747091,3.19192256019048e-07,1.73654844000437e-06,"SPATA17"
"LYPLAL1-DT",10.1263752003181,-2.8390825852171,0.737050560258247,1.12853007276224e-05,5.22204989060692e-05,"LYPLAL1-DT"
"SLC30A10",1730.21833249272,-8.83001511775195,0.778066813124568,1.71417187765305e-31,4.34488074191251e-30,"SLC30A10"
"BPNT1",862.818788832288,-0.577717722967299,0.153508043447067,0.000125051203883865,0.000504503581410021,"BPNT1"
"TAF1A-AS1",58.9619893479953,-1.0894230135145,0.325123834547193,0.000286329438504949,0.00110083695730003,"TAF1A-AS1"
"SUSD4",877.58041844704,-7.38043558734967,0.696306557474859,1.46835411474397e-27,3.02546179943081e-26,"SUSD4"
"TP53BP2",3026.57671154076,-1.32739974254904,0.375497784668184,0.00010471096960912,0.000426906738153657,"TP53BP2"
"CNIH3",248.954031769154,-1.61171363011254,0.350533423043797,8.20082121993161e-07,4.26963650345599e-06,"CNIH3"
"SRP9",5818.59202668508,-0.941324492351719,0.143526114830568,2.40718804772245e-11,1.87275347551439e-10,"SRP9"
"TMEM63A",6115.23632024101,-0.55971464818219,0.244473483748919,0.0162986666834681,0.0469437026020829,"TMEM63A"
"LEFTY1",52.1382522252846,-2.55512932170368,0.344059024897977,1.8742990991711e-14,1.82235067624507e-13,"LEFTY1"
"PYCR2",2597.12848124651,-0.530356969205389,0.130659623744661,3.87031007081699e-05,0.00016699562238649,"PYCR2"
"PARP1",4889.96465735285,-1.24416704582375,0.179230574609958,1.02309670280807e-12,8.83283863611009e-12,"PARP1"
"STUM",2847.83019356953,-3.14729776621255,0.333701858030931,4.24277711561191e-22,6.63587400037421e-21,"STUM"
"ITPKB",4845.5132950311,-1.08496271317005,0.298287530305289,9.78623972425859e-05,0.000400712455941947,"ITPKB"
"SNAP47",1828.53145169341,-1.99810052221535,0.206703734122305,8.20392390510644e-23,1.3265714702072e-21,"SNAP47"
"MRPL55",1830.8892405159,-0.598085654363803,0.154317809557189,7.76498851311102e-05,0.000321662848617237,"MRPL55"
"GUK1",12369.932477077,-1.12613852179306,0.141622513678927,5.8417569524101e-16,6.28405768509146e-15,"GUK1"
"GJC2",371.540081841892,-2.15732508791314,0.430532925180278,8.86784489790187e-08,5.11651314174996e-07,"GJC2"
"IBA57-DT",21.5007089421175,-2.52485101003117,0.434624439576876,9.66181148130027e-10,6.6283242326912e-09,"IBA57-DT"
"OBSCN-AS1",527.43513983089,-6.92087488891537,0.343824207429147,2.53122507852419e-91,4.52198672824497e-89,"OBSCN-AS1"
"OBSCN",2762.08709163077,-3.15692549398521,0.219719233917967,8.76174027265028e-48,4.31247491889068e-46,"OBSCN"
"TRIM11",1043.86514946399,-1.44898401921421,0.15828045918572,1.11888995561541e-20,1.61779547389416e-19,"TRIM11"
"TRIM17",311.829848948856,-5.59640745303431,0.337674049583778,3.32844605610653e-63,2.81169169030295e-61,"TRIM17"
"H2AW",193.636796599998,-3.4342560018444,0.368222706827403,8.16279660746226e-22,1.25392514127689e-20,"H2AW"
"H2BU1",21.5445630815487,-2.77435598625882,0.51654693112386,9.87670438342556e-09,6.20963029111747e-08,"H2BU1"
"RNF187",6623.54001212954,-1.82888253354106,0.172873278740392,7.08223415747127e-27,1.4116180354778e-25,"RNF187"
"RHOU",3410.17503917654,-1.87269110907568,0.277764561850571,2.84627153576925e-12,2.37361527537741e-11,"RHOU"
"RAB4A",1786.65272145925,-0.920472382433124,0.116780861766704,1.47973559620331e-15,1.55163144527971e-14,"RAB4A"
"CCSAP",1188.18499216898,-2.81658564493622,0.221422099919662,6.95998448405862e-38,2.32650624801502e-36,"CCSAP"
"LINC01736",24.7377521317794,-5.9853183610558,1.07790473301691,6.82677577006305e-10,4.73661578350102e-09,"LINC01736"
"PGBD5",1284.07775515478,-5.70305537678375,0.344548679341362,5.06318731573302e-63,4.24523993393991e-61,"PGBD5"
"AGT",23034.4655500325,-5.42717989336888,0.365123892752291,1.55661873874332e-51,8.84375793442687e-50,"AGT"
"CAPN9",23.0290924580631,-4.66576266073379,0.564412147436762,3.47382437008677e-18,4.29751009210401e-17,"CAPN9"
